symbol,sector
TCS,IT
INFY,IT
WIPRO,IT
HCLTECH,IT
TECHM,IT
COFORGE,IT
PERSISTENT,IT
LTIM,IT
MPHASIS,IT
LTTS,IT
TATAELXSI,IT
KPITTECH,IT
CYIENT,IT
BIRLASOFT,IT
TATAMOTORS,AUTO
M&M,AUTO
MARUTI,AUTO
BAJAJ-AUTO,AUTO
EICHERMOT,AUTO
HEROMOTOCO,AUTO
ASHOKLEY,AUTO
TVSMOTOR,AUTO
MOTHERSON,AUTO
BOSCHLTD,AUTO
BALKRISIND,AUTO
BHARATFORG,AUTO
ESCORTS,AUTO
SUNPHARMA,PHARMA
CIPLA,PHARMA
DRREDDY,PHARMA
DIVISLAB,PHARMA
AUROPHARMA,PHARMA
LUPIN,PHARMA
TORNTPHARM,PHARMA
IPCALAB,PHARMA
ALKEM,PHARMA
GLENMARK,PHARMA
BIOCON,PHARMA
GRANULES,PHARMA
LAURUSLABS,PHARMA
HDFCBANK,BANK
ICICIBANK,BANK
SBIN,BANK
KOTAKBANK,BANK
AXISBANK,BANK
INDUSINDBK,BANK
FEDERALBNK,BANK
BANKBARODA,BANK
IDFCFIRSTB,BANK
BANDHANBNK,BANK
AUBANK,BANK
CANBK,BANK
PNB,BANK
HINDUNILVR,FMCG
ITC,FMCG
NESTLEIND,FMCG
BRITANNIA,FMCG
DABUR,FMCG
TATACONSUM,FMCG
GODREJCP,FMCG
MARICO,FMCG
COLPAL,FMCG
EMAMILTD,FMCG
VBL,FMCG
TATASTEEL,METAL
JSWSTEEL,METAL
HINDALCO,METAL
VEDL,METAL
JINDALSTEL,METAL
SAIL,METAL
NMDC,METAL
HINDZINC,METAL
NATIONALUM,METAL
APLAPOLLO,METAL
DLF,REALTY
OBEROIRLTY,REALTY
GODREJPROP,REALTY
PHOENIXLTD,REALTY
PRESTIGE,REALTY
SOBHA,REALTY
MAHLIFE,REALTY
BRIGADE,REALTY
RELIANCE,ENERGY
ONGC,ENERGY
NTPC,ENERGY
POWERGRID,ENERGY
COALINDIA,ENERGY
BPCL,ENERGY
TATAPOWER,ENERGY
GAIL,ENERGY
PETRONET,ENERGY
IOC,ENERGY
IGL,ENERGY
MGL,ENERGY
BAJFINANCE,FINSERV
BAJAJFINSV,FINSERV
HDFCLIFE,FINSERV
SBILIFE,FINSERV
ICICIGI,FINSERV
CHOLAFIN,FINSERV
LICHSGFIN,FINSERV
MUTHOOTFIN,FINSERV
RECLTD,FINSERV
PFC,FINSERV
IRFC,FINSERV
DIXON,CONSDURABLE
VOLTAS,CONSDURABLE
HAVELLS,CONSDURABLE
CROMPTON,CONSDURABLE
TITAN,CONSDURABLE
BLUESTARCO,CONSDURABLE
AMBER,CONSDURABLE
VGUARD,CONSDURABLE
LT,INFRA
SIEMENS,INFRA
ABB,INFRA
BHEL,INFRA
CUMMINSIND,INFRA
THERMAX,INFRA
KEC,INFRA
TIINDIA,INFRA
GRINDWELL,INFRA
AIAENG,INFRA
PIDILITIND,CHEMICALS
SRF,CHEMICALS
DEEPAKNITR,CHEMICALS
NAVINFLUOR,CHEMICALS
ATUL,CHEMICALS
ALKYLAMINE,CHEMICALS
FLUOROCHEM,CHEMICALS
VINATIORGA,CHEMICALS
ULTRACEMCO,CEMENT
AMBUJACEM,CEMENT
ACC,CEMENT
SHREECEM,CEMENT
JKCEMENT,CEMENT
RAMCOCEM,CEMENT
DALMIACEM,CEMENT
BHARTIARTL,TELECOM
INDUSTOWER,TELECOM
IDEA,TELECOM
